name,alt_name,ra,dec,vmag_code,vmag,multiple,class,bv_color,bv_uncert,ub_color,ub_uncert,hd,hr,par_code,parallax,ri_code,sao
HR 377,Kap Tuc,18.9421,-68.8761,,4.86,W,STAR F6IV,0.47,,0.03,,7788,377,,0.0610,,248346
HR 2221,Nu  Dor,92.1842,-68.8433,,5.06,,STAR B8V,-0.08,,-0.21,,43107,2221,,,,249461
HR 2712,,106.5587,-68.8372,,6.47,,STAR K0III,1.04,,0.87,,55151,2712,,,,249740
HR 8769,,346.2175,-68.8203,,5.52,,STAR F4III,0.36,,0.12,,217831,8769,,,,255395
HR 7934,Sig Pav,312.3254,-68.7764,,5.41,,STAR K0III,1.12,,1.10,,197635,7934,,0.0000,E,254871
HR 7588,,299.7208,-68.7622,,6.39,,STAR A0V,0.16,,0.09,,188164,7588,,,,254696
HR 7161,,285.8737,-68.7553,,5.88,W,STAR F8V,0.56,,0.13,,175986,7161,,,,254446
HR 3712,,139.3217,-68.6894,,5.39,W,STAR F4V,0.42,,-0.03,,80671,3712,,0.0580,,250526
HR 3610,,135.2854,-68.6839,,5.88,,STAR M1III,1.63,,1.97,,77887,3610,,,,250421
HR 4002,,152.3771,-68.6833,,5.81,W,STAR A0IV,0.02,,-0.02,,88473,4002,D,0.0070,,250844
HR 5671,Gam TrA,229.7275,-68.6794,,2.89,,STAR A1V,0.00,,-0.02,,135382,5671,,0.0100,,253097
HR 705,Del Hyi,35.4371,-68.6594,,4.09,,STAR A3V,0.03,,0.05,,15008,705,,0.0500,,248545
HR 4614,,181.5825,-68.6508,,6.23,,STAR G3I,1.24,,1.04,,105138,4614,,,,251737
HR 1859,,81.7500,-68.6228,,6.03,W,STAR F0IV,0.34,,0.03,,36584,1859,D,0.0120,C,249281
HR 3223,Eps Vol,121.9825,-68.6172,,4.35,W,STAR B6IV,-0.11,,-0.46,,68520,3223,,,,250128
HR 5891,Kap TrA,238.8733,-68.6031,,5.09,,STAR G5II,1.13,,0.94,,141767,5891,,0.0070,,253342
HR 7383,,292.7954,-68.4339,,5.96,,STAR K4III,1.64,,1.93,,182709,7383,,,,254590
HR 7221,,287.4696,-68.4247,,5.33,,STAR G8III,0.91,,0.61,,177389,7221,,0.0300,,254475
HR 9007,,356.8471,-68.3942,,6.89,,STAR F2V,0.46,,0.06,,223148,9007,,,,255567
HR 7320,,291.0225,-68.3711,,6.34,,STAR K2III,1.23,,1.25,,181019,7320,,,,254551
HR 4604,,181.1613,-68.3292,,5.35,,STAR A0IV,-0.01,,-0.17,,104878,4604,,0.0160,,251720
HR 5713,,231.5612,-68.3092,,5.89,W,STAR G8III,1.02,,0.77,,136672,5713,,,,253155
HR 4704,Zet1Mus,185.5496,-68.3075,,5.74,,STAR K0III,1.04,,0.82,,107567,4704,,,,251868
HR 6172,Eta1TrA,250.3471,-68.2961,,5.91,,STAR B7IV,-0.08,,-0.42,,149671,6172,,,,253649
HR 806,Eps Hyi,39.8975,-68.2669,,4.11,,STAR B9V,-0.06,,-0.14,,16978,806,,,,248621
HR 6808,,274.5038,-68.2292,,6.33,W,STAR B9V,-0.04,,-0.23,,166841,6808,,,,254196
HR 3491,,130.9763,-68.2117,,6.32,,STAR K3III,1.50,,1.78,,75116,3491,,,,250315
HR 8019,,315.3671,-68.2097,,6.37,,STAR A2V,0.10,,0.11,,199475,8019,,,,254918
HR 5379,,216.2762,-68.1953,,5.61,,STAR A3I,0.49,,0.01,,125835,5379,,,,252735
HR 4844,Bet Mus,191.5704,-68.1081,,3.05,W,STAR B2V,-0.18,,-0.74,,110879,4844,D,0.0150,,252019
HR 4671,Eps Mus,184.3921,-67.9608,,4.11,,STAR M5III,1.58,,1.55,,106849,4671,,0.0460,,251830
HR 2803,Del Vol,109.2075,-67.9572,,3.98,,STAR F6II,0.79,,0.45,,57623,2803,,0.0040,,249809
HR 6037,,244.2729,-67.9414,,5.75,,STAR A4V,0.15,,0.09,,145689,6037,,,,253481
HR 5443,,219.4429,-67.9322,,6.04,,STAR F7V,0.50,,-0.02,,128020,5443,,0.0510,,252824
HR 2662,,104.9604,-67.9161,,5.17,,STAR K3III,1.40,,1.65,,53501,2662,,0.0370,,249704
HR 4993,Eta Mus,198.8121,-67.8944,,4.80,W,STAR B8V,-0.08,,-0.35,,114911,4993,,,,252224
HR 667,Pi 1Hyi,33.5612,-67.8417,,5.55,,STAR M1III,1.55,,1.85,,14141,667,,0.0130,,248518
HR 4379,,169.3292,-67.8236,,6.06,W,STAR M2III,1.76,,1.93,,98292,4379,,,,251341
HR 6417,Zet Aps,260.4975,-67.7706,,4.78,,STAR K2III,1.21,,1.27,,156277,6417,,0.0140,,253882
HR 678,Pi 2Hyi,33.8688,-67.7464,,5.69,,STAR K2III,1.30,,1.48,,14287,678,,,,248521
HR 5408,,217.8188,-67.7172,,5.83,W,STAR K1III,1.00,,0.78,,126862,5408,,,,252767
HR 6231,,253.0725,-67.6819,,6.32,,STAR K2III,1.28,,1.51,,151404,6231,,,,253718
HR 5218,,208.7038,-67.6525,,5.71,,STAR K2III,1.49,,1.67,,120913,5218,,,,252511
HR 570,Eta2Hyi,28.7337,-67.6472,,4.69,,STAR G8III,0.95,,0.64,,11977,570,,,,248460
HR 4710,,185.8075,-67.6317,,6.36,,STAR G8IV,0.89,,0.53,,107773,4710,,0.0130,,251877
HR 4485,,174.4517,-67.6203,,5.96,,STAR K0III,1.02,,0.83,,101162,4485,,,,251501
HR 837,Zet Hyi,41.3858,-67.6167,,4.84,,STAR A2IV,0.06,,0.09,,17566,837,,0.0090,,248644
HR 4703,Zet2Mus,185.5304,-67.5219,,5.15,W,STAR A5V,0.19,,0.17,,107566,4703,,0.0070,,251866
HR 8547,,337.1571,-67.4892,,5.55,,STAR A4V,0.20,,0.08,,212728,8547,,,,255227
HR 5684,,230.1696,-67.4814,,6.28,W,STAR B3V,-0.09,,-0.61,,135737,5684,,,,253115
HR 8855,,349.5833,-67.4711,,6.13,,STAR K2III,1.35,,1.58,,219644,8855,,,,255455
HR 6182,,250.8421,-67.4325,,6.03,,STAR A0V,0.02,,0.02,,150026,6182,,,,253673
HR 7644,,301.3867,-67.3208,,6.07,,STAR G3V,0.64,,0.08,,189567,7644,,0.0540,E,254721
HR 7107,Kap Pav,284.2375,-67.2336,,4.44,,STAR F5I,0.71,,0.60,,174694,7107,,0.0100,,254413
HR 6368,,258.3229,-67.1967,,5.89,W,STAR K0III,1.06,,0.90,,154903,6368,,,,253827
HR 4806,,189.7188,-67.1931,,6.25,W,STAR B1I,0.06,,-0.85,,109867,4806,,,,251980
HR 1744,The Dor,78.4392,-67.1853,,4.83,,STAR K2III,1.28,,1.39,,34649,1744,,-0.0060,,249225
HR 6204,,251.6667,-67.1097,,5.13,W,STAR A0,-0.08,,-0.45,,150549,6204,,0.0050,,253688
HR 5621,,227.3746,-67.0842,,5.76,,STAR F6II,0.69,,0.39,,133683,5621,,,,253031
HR 3713,,139.4654,-67.0508,,6.11,,STAR K2III,1.26,,1.10,,80710,3713,,,,250529
HR 4129,,157.5363,-66.9850,,6.19,,STAR B4IV,0.01,,-0.53,,91272,4129,,,,250989
HR 4448,,173.0829,-66.9622,,5.90,,STAR K1III,1.13,,1.12,,100382,4448,,,,251451
HR 7603,Mu 1Pav,300.0958,-66.9494,,5.76,,STAR K0III,1.04,,0.80,,188584,7603,,0.0370,,254702
HR 7612,Mu 2Pav,300.4683,-66.9442,,5.31,,STAR K2IV,1.22,,1.29,,188887,7612,,0.0250,E,254707
HR 1014,,49.4958,-66.9269,,6.05,,STAR A3V,0.13,,0.10,,20888,1014,,,,248776
