name,alt_name,ra,dec,vmag_code,vmag,multiple,class,bv_color,bv_uncert,ub_color,ub_uncert,hd,hr,par_code,parallax,ri_code,sao
HR 3807,,143.0804,-40.6494,,5.35,W,STAR G8III,0.90,,,,82694,3807,,0.0240,,221262
HR 5695,Del Lup,230.3429,-40.6475,,3.22,,STAR B1IV,-0.22,,-0.89,,136298,5695,,,,225691
HR 7348,Alp Sgr,290.9717,-40.6161,,3.97,,STAR B8V,-0.10,,-0.33,,181869,7348,,,,229659
HR 8818,,347.5408,-40.5917,,5.83,,STAR M4III,1.62,,1.84,,218655,8818,,,,231465
HR 8602,Sig2Gru,339.2450,-40.5911,,5.86,W,STAR A1V,0.06,,0.06,,214150,8602,,,,231217
HR 4453,,173.4054,-40.5869,,5.39,W,STAR A2IV,0.12,,,,100493,4453,,0.0280,,222863
HR 5624,,227.0504,-40.5839,,5.79,,STAR B8IV,-0.14,,-0.40,,133880,5624,,,,225474
HR 8600,Sig1Gru,339.1221,-40.5828,,6.28,,STAR A3V,0.12,,0.13,,214085,8600,,,,231211
HR 3080,,118.0542,-40.5758,,3.73,,STAR K1II,1.04,,0.78,,64440,3080,,0.0310,,219082
HR 814,,40.8346,-40.5275,,6.36,W,STAR B9V,-0.02,,,,17098,814,D,0.0090,,216019
HR 8117,,318.8112,-40.5064,,6.21,,STAR K2III,1.14,,1.10,,202135,8117,,,,230596
HR 3746,,141.6187,-40.5019,,6.20,,STAR A7III,0.25,,,,81780,3746,,,,221167
HR 4523,,176.6296,-40.5006,,4.91,,STAR G3V,0.66,,0.10,,102365,4523,,0.0990,,223020
HR 2727,,108.0658,-40.4989,,5.31,,STAR A3,0.06,,0.09,,55719,2727,,0.0090,,218525
HR 7242,Del CrA,287.0871,-40.4967,,4.59,,STAR K1III,1.09,,1.03,,177873,7242,,0.0160,,229513
HR 3786,Psi Vel,142.6750,-40.4667,,3.60,W,STAR F3IV,0.36,,-0.03,,82434,3786,,0.0650,,221234
HR 3548,,133.4612,-40.4475,,6.47,,STAR K0II,0.96,,,,76304,3548,,,,220628
HR 4447,,173.2004,-40.4364,,5.64,,STAR K6III,1.58,,1.81,,100378,4447,,,,222856
HR 5952,,240.2238,-40.4353,,6.21,W,STAR A0V,0.01,,-0.01,,143248,5952,,,,226442
HR 7050,Mu  CrA,281.9358,-40.4061,,5.24,,STAR G5III,0.78,,,,173540,7050,,0.0230,,229285
HR 1323,,63.3988,-40.3578,,6.37,,STAR K3III,1.46,,,,26927,1323,,,,216705
HR 1219,,58.5967,-40.3572,,5.71,W,STAR K0III,0.60,,,,24744,1219,,,,216546
HR 2203,,92.5429,-40.3536,,5.58,,STAR M2II,1.68,,2.00,,42682,2203,,,,217753
HR 2475,,100.3087,-40.3497,,6.12,W,STAR B4V,-0.14,,-0.59,,48383,2475,,,,218126
HR 3243,,123.5121,-40.3481,,4.44,W,STAR K1II,1.17,,1.09,,69142,3243,,0.0100,,219635
HR 4015,,153.4413,-40.3458,,5.90,W,STAR K1III,1.21,,1.25,,88809,4015,,,,221877
HR 3514,,132.4133,-40.3206,,5.48,,STAR A2IV,0.06,,0.13,,75630,3514,,0.0360,,220531
HR 4019,,153.4858,-40.3106,,6.35,W,STAR G8III,0.94,,,,88836,4019,,,,221883
HR 6678,,269.2325,-40.3056,,6.43,,STAR K3III,1.43,,1.65,,163234,6678,,,,228564
HR 897,The1Eri,44.5654,-40.3047,,3.24,W,STAR A4III,0.14,,0.14,,18622,897,,0.0350,,216113
HR 898,The2Eri,44.5679,-40.3044,,4.35,W,STAR A1V,0.08,,0.12,,18623,898,,0.0350,,216114
HR 9046,,358.6608,-40.3000,,6.03,,STAR F8IV,0.57,,0.11,,224022,9046,,0.0290,,231842
HR 2323,,96.1854,-40.2842,,6.31,,STAR B9V,-0.05,,,,45306,2323,,,,217910
HR 1106,,54.2738,-40.2747,,4.58,,STAR K1III,1.04,,0.77,,22663,1106,,0.0110,,216405
HR 8100,,318.0567,-40.2694,,5.83,,STAR F5IV,0.45,,0.01,,201647,8100,,0.0420,,230575
HR 3439,,130.0804,-40.2642,,5.20,W,STAR B9V,-0.01,,-0.14,,74067,3439,,,,220252
HR 5259,,210.3292,-40.2222,,6.13,W,STAR K1III,1.25,,1.29,,122210,5259,,,,205096
HR 5449,,219.1842,-40.2117,,5.74,,STAR B8,-0.12,,,,128207,5449,,,,205751
HR 5862,,236.8558,-40.1942,,6.42,,STAR G5III,0.88,,,,140861,5862,,,,226206
HR 9001,,356.5050,-40.1825,,6.31,,STAR A7III,0.20,,0.09,,223011,9001,,,,231769
HR 4889,,193.3592,-40.1789,,4.27,,STAR A7III,0.21,,0.12,,111968,4889,,0.0560,,203907
HR 4836,,190.8596,-40.1778,,6.44,,STAR A8V,0.25,,0.04,,110575,4836,,,,203746
HR 5065,,201.8112,-40.1631,,6.40,W,STAR G8III,0.98,,,,116873,5065,,,,204483
HR 3421,,129.3329,-40.1475,,6.55,,STAR G4IV,0.60,,0.14,,73524,3421,,0.0590,,199438
HR 6615,Iot1Sco,266.8962,-40.1269,,3.03,W,STAR F2I,0.51,,0.27,,161471,6615,,0.0190,,228420
HR 6631,Iot2Sco,267.5467,-40.0906,,4.81,W,STAR A2I,0.26,,0.00,,161912,6631,,-0.0010,,228466
HR 5767,,233.5067,-40.0661,,5.82,,STAR M2III,1.68,,1.93,,138505,5767,,,E,206763
HR 3025,,116.6392,-40.0597,,6.57,,STAR B2V,-0.13,,-0.67,,63308,3025,,,,198424
HR 2907,,113.3063,-40.0589,,6.26,,STAR B8IV,-0.12,,-0.48,,60559,2907,,,,198120
HR 5136,,204.9525,-40.0519,,5.60,,STAR K2III,1.30,,,,118799,5136,,,,204712
HR 7422,,293.5354,-40.0347,,5.89,,STAR A3III,0.09,,,,184035,7422,,,,229746
HR 3165,Zet Pup,120.8962,-40.0033,,2.25,,STAR O5,-0.26,,-1.11,,66811,3165,,,,198752
HR 2952,,114.6008,-39.9914,,6.59,,STAR A0,-0.05,,-0.17,,61623,2952,,,,198226
HR 4817,,189.9688,-39.9875,,4.64,,STAR B8II,-0.08,,-0.42,,110073,4817,,,,203681
HR 3968,,151.0975,-39.9758,,6.43,,STAR K1III,1.30,,,,87477,3968,,,,201020
HR 3404,,128.8025,-39.9700,,6.47,,STAR G1V,0.58,,,,73121,3404,,,,199402
HR 2082,,88.7188,-39.9581,,5.57,,STAR M0III,1.51,,1.85,,40091,2082,,,,196309
HR 853,,42.6996,-39.9317,,6.36,,STAR A0V,0.05,,,,17864,853,,,,216065
HR 109,,7.1100,-39.9150,,5.43,,STAR M0III,1.56,,1.90,,2490,109,,0.0150,,215103
HR 5572,,224.6533,-39.9067,,6.15,,STAR K2III,1.23,,1.24,,132096,5572,,,,206154
HR 2917,,113.4938,-39.9058,,6.76,,STAR K2III,1.13,,,,60686,2917,,,,198137
HR 5198,,207.5808,-39.9011,,6.44,,STAR K1III,0.99,,,,120457,5198,,,,204888
HR 6948,,278.2538,-39.8922,,6.22,,STAR F5IV,0.42,,,,170773,6948,,,,210286
HR 7552,,297.9608,-39.8744,,5.33,,STAR A0,-0.06,,-0.22,,187474,7552,,0.0200,,229903
HR 5400,,216.7079,-39.8739,,6.35,,STAR B7IV,-0.08,,,,126475,5400,,,,205561
HR 4796,,189.0050,-39.8700,,5.80,W,STAR A0V,0.01,,,,109573,4796,,,,203621
HR 5918,,239.0271,-39.8642,,6.03,W,STAR B6V,0.15,,,,142448,5918,,,,207128
HR 794,Iot Eri,40.1667,-39.8556,,4.11,,STAR K0III,1.02,,0.74,,16815,794,,0.0380,,215999
HR 7255,,287.4154,-39.8281,,6.46,,STAR K0III,1.06,,,,178254,7255,,,,210994
HR 7136,,284.3946,-39.8233,,6.31,,STAR A3,0.20,,,,175529,7136,,,,210754
HR 7987,,313.4175,-39.8100,,5.35,,STAR K2III,1.32,,,,198716,7987,,0.0200,,212522
HR 3729,,140.6529,-39.7747,,6.54,,STAR K1III,1.13,,,,81134,3729,,,,200299
HR 6392,,258.6154,-39.7669,,6.60,W,STAR G5I,2.21,,1.35,,155603,6392,,,,208569
HR 5058,,201.5325,-39.7553,,5.09,,STAR K0III,1.20,,1.02,,116713,5058,,0.0120,,204465
HR 5135,,204.9200,-39.7481,,6.27,,STAR M4III,1.66,,1.78,,118781,5135,,,,204708
HR 1631,,75.3938,-39.7181,,6.03,,STAR G5III,0.88,,,,32453,1631,,,,195501
HR 5719,Ups Lup,231.1871,-39.7103,,5.37,W,STAR A0,-0.11,,,,136933,5719,,0.0080,,206597
HR 6942,,278.0892,-39.7039,,5.16,,STAR A3V,0.08,,,,170642,6942,,0.0220,,210277
HR 4568,,178.9779,-39.6892,,6.13,,STAR K0III,1.02,,,,103637,4568,,,,202950
HR 7031,,281.2383,-39.6864,,5.43,,STAR K3II,0.87,,0.37,?,172991,7031,,0.0120,?,210518
HR 4879,,192.9867,-39.6808,,5.98,,STAR B8V,-0.10,,,,111774,4879,,,,203881
HR 1793,,80.8500,-39.6786,,5.71,,STAR M1III,1.62,,,,35515,1793,,,,195807
HR 2702,,107.2129,-39.6558,,4.83,,STAR B2IV,-0.18,,-0.69,,54893,2702,,,,197632
HR 1584,,73.7283,-39.6286,,6.10,,STAR K3III,1.42,,,,31529,1584,,,,195400
HR 3286,,125.3508,-39.6208,,6.16,,STAR A3V,0.17,,,,70612,3286,,,,199123
HR 3225,,122.8396,-39.6186,,4.45,,STAR K3I,1.62,,1.86,,68553,3225,,-0.0060,,198908
HR 3844,,144.6696,-39.6142,,6.70,W,STAR F5,0.49,,,,83610,3844,,,,200590
HR 5446,,219.1008,-39.5972,,6.13,,STAR K1III,1.05,,,,128152,5446,,,,205744
HR 3874,,146.0658,-39.5711,,6.82,,STAR F2V,0.30,,,,84447,3874,,,,200681
HR 4153,,158.8038,-39.5628,,5.38,,STAR,2.88,,7.10,,91793,4153,,,,201533
HR 7915,,310.7208,-39.5586,,6.29,,STAR K1III,1.08,,,,197093,7915,,,,212369
HR 8411,Lam Gru,331.5287,-39.5433,,4.46,,STAR K3III,1.37,,1.66,,209688,8411,,0.0130,,213543
HR 2507,,101.5137,-39.5400,,6.62,,STAR B6V,-0.13,,-0.50,,49319,2507,,,,197192
HR 7156,,284.7963,-39.5347,,6.49,W,STAR A0,-0.04,,,,175855,7156,,,,210786
HR 5378,,215.7592,-39.5122,,4.42,,STAR B7III,-0.18,,-0.75,,125823,5378,,,,205497
HR 6381,,258.0675,-39.5069,,5.67,,STAR A1V,0.04,,,,155259,6381,,,,208521
HR 7464,,294.9821,-39.4333,,6.61,,STAR A2,0.23,,,,185257,7464,,,,211451
HR 6080,,245.1358,-39.4308,,6.12,W,STAR B9V,-0.07,,-0.22,,146954,6080,,,,207574
HR 3737,,141.0679,-39.4258,,6.06,W,STAR A7V,0.20,,0.10,,81411,3737,,,,200330
HR 8104,,318.2629,-39.4253,,5.26,,STAR F5IV,0.44,,,,201772,8104,,0.0290,,212793
HR 5561,,224.1492,-39.4161,,6.36,,STAR A0V,0.06,,,,131752,5561,,,,206110
HR 5089,,202.7612,-39.4075,,3.88,W,STAR G9I,1.17,,1.03,,117440,5089,,0.0120,,204545
HR 1981,,85.8758,-39.4069,,6.25,,STAR F3V,0.37,,,,38385,1981,,,,196116
HR 3602,,135.5267,-39.4025,,6.27,,STAR K1III,1.00,,,,77580,3602,,,,199902
HR 3694,,139.2383,-39.4014,,5.33,,STAR K5III,1.17,,,,80170,3694,,0.0270,,200185
HR 6221,,251.6992,-39.3772,,5.48,,STAR K0III,0.98,,,,151078,6221,,,,208020
HR 1526,,71.4808,-39.3567,,6.05,,STAR K1III,1.07,,,,30432,1526,,,,195278
HR 5773,,233.5871,-39.3494,,6.36,,STAR B9V,-0.03,,-0.11,,138564,5773,,,,206769
HR 7259,Bet CrA,287.5071,-39.3408,,4.11,,STAR K0II,1.20,,1.07,,178345,7259,,0.0160,,211005
HR 3032,,116.7742,-39.3314,,6.31,,STAR B8III,-0.17,,-0.55,,63401,3032,,,,198435
HR 4713,,185.9037,-39.3031,,6.40,,STAR F2V,0.29,,,,107833,4713,,,,203421
HR 3140,,119.8683,-39.2972,,5.24,,STAR F5III,0.39,,0.02,,65925,3140,,0.0380,,198668
HR 2262,,94.1483,-39.2644,,6.00,,STAR A2V,0.16,,,,43847,2262,,,,196646
HR 3656,,137.9208,-39.2589,,6.00,,STAR B6V,-0.11,,,,79241,3656,,,,200084
HR 2791,,109.6400,-39.2103,,5.25,,STAR A1V,0.01,,0.07,,57240,2791,,0.0140,,197836
HR 7933,,311.5837,-39.1992,,5.50,,STAR B8V,-0.10,,,,197630,7933,,,,212416
HR 2488,,100.8471,-39.1933,,6.30,,STAR A8,0.26,,,,48797,2488,,,,197134
HR 6094,,246.0054,-39.1931,,5.40,,STAR G5V,0.62,,0.15,,147513,6094,,0.0540,,207622
HR 5805,,234.6362,-39.1608,,6.57,,STAR B9V,-0.07,,-0.19,,139233,5805,,,,206826
HR 8685,,342.7592,-39.1569,,5.42,,STAR M0III,1.43,,1.69,,216149,8685,,-0.0010,,214134
HR 3517,,132.4683,-39.1417,,6.39,,STAR A5III,0.23,,,,75654,3517,,,,199682
HR 6683,,269.4908,-39.1369,,6.29,W,STAR A0IV,0.01,,,,163433,6683,,,,209524
HR 8552,Nu  Gru,337.1633,-39.1319,,5.47,W,STAR G9III,0.95,,,,212953,8552,,0.0150,,213850
HR 3812,,143.2825,-39.1289,,6.43,W,STAR F0IV,0.33,,,,82785,3812,,,,200492
HR 5807,,234.6763,-39.1281,,6.04,W,STAR A3,0.21,,,,139271,5807,,,,206827
HR 5999,,242.1425,-39.1053,,7.05,W,STAR A7IV,0.36,,0.25,,144668,5999,,,,207367
HR 6000,,242.1433,-39.0931,,6.65,W,STAR A0III,-0.07,,-0.44,,144667,6000,,,,207368
HR 3373,,127.8525,-39.0642,,6.31,W,STAR B4V,-0.15,,-0.56,,72436,3373,,,,199329
HR 3328,,126.5758,-39.0603,,7.25,W,STAR A2V,0.08,,0.06,,71488,3328,D,0.0050,,199224
HR 3327,,126.5733,-39.0594,,6.53,W,STAR B9V,-0.09,,-0.36,,71487,3327,D,0.0050,,199222
HR 4748,,187.0938,-39.0414,,5.44,,STAR B8V,-0.08,,,,108541,4748,,,,203508
HR 6580,Kap Sco,265.6221,-39.0300,,2.41,,STAR B1III,-0.22,,-0.89,,160578,6580,,,,209163
HR 7268,,287.7575,-39.0050,,6.36,,STAR B7III,0.01,,,,178628,7268,,,,211017
HR 6910,,277.1129,-38.9956,,5.64,,STAR A2,0.13,,,,169853,6910,,,,210197
HR 4648,,183.3554,-38.9292,,5.76,,STAR B4IV,-0.13,,,,106231,4648,,,,203250
HR 288,Xi  Scl,15.3263,-38.9167,,5.59,,STAR K0III,1.18,,,,6055,288,,0.0340,,192870
HR 4714,,185.9371,-38.9111,,5.79,,STAR B9V,-0.08,,,,107860,4714,,,,203424
HR 8790,Ups Gru,346.7233,-38.8922,,5.61,W,STAR A1V,0.01,,,,218242,8790,,,,214313
HR 5419,,217.7950,-38.8697,,5.97,,STAR K1III,1.06,,,,127193,5419,,,,205637
HR 2995,,115.7792,-38.8642,,6.89,,STAR G6III,1.02,,0.77,,62595,2995,,,,198342
HR 3084,,118.1612,-38.8631,,4.49,,STAR B2V,-0.19,,-0.69,,64503,3084,,0.0120,,198545
HR 6921,,277.3200,-38.8511,,6.63,,STAR B8,-0.02,,,,170040,6921,,,,210213
HR 3389,,128.4096,-38.8489,,5.96,,STAR B5III,-0.14,,,,72832,3389,,,,199370
HR 6382,,258.0688,-38.8222,,6.30,,STAR K1III,1.05,,,,155276,6382,,,,208522
HR 2875,,112.2738,-38.8122,,5.43,,STAR B5V,-0.16,,,,59635,2875,,,,198045
HR 5456,,219.5817,-38.7942,,6.02,,STAR K3III,1.43,,,,128488,5456,,,,205786
HR 5636,,227.5312,-38.7925,,5.98,,STAR G8III,,,,,134255,5636,,,,206352
HR 2955,,114.6358,-38.7811,,6.19,,STAR G8III,1.02,,0.77,,61642,2955,,,,198229
HR 5724,,231.3342,-38.7336,,4.60,W,STAR A0IV,0.00,,-0.06,,137058,5724,,0.0120,,206616
HR 6953,Kap2CrA,278.3463,-38.7261,,5.65,W,STAR B9V,-0.06,,,,170867,6953,,,,210295
HR 3535,,133.2000,-38.7242,,5.82,,STAR M0III,1.50,,1.89,,76110,3535,,,,199737
HR 6952,Kap1CrA,278.3471,-38.7203,,6.32,W,STAR A0III,,,,,170868,6952,,,,210296
HR 6862,,275.5775,-38.6569,,5.10,,STAR K4III,1.49,,,,168592,6862,,0.0110,,210048
HR 6546,,264.1367,-38.6353,,4.29,,STAR K0III,1.09,,0.90,,159433,6546,,0.0180,,209019
HR 8048,Zet Mic,315.7417,-38.6317,,5.30,,STAR F3V,0.41,,,,200163,8048,,0.0240,,212666
HR 2407,,98.2929,-38.6253,,6.44,,STAR G8III,1.00,,,,46727,2407,,,,196930
HR 5751,,233.0183,-38.6231,,6.25,,STAR A7V,0.20,,,,138204,5751,,,,206736
HR 3667,,138.3579,-38.6164,,6.31,,STAR A0V,0.00,,0.01,,79523,3667,,,,200119
HR 5967,,240.8508,-38.6025,,4.89,,STAR B6IV,-0.14,,-0.58,,143699,5967,,,,207276
HR 554,,28.3467,-38.5947,,6.10,,STAR K1II,1.12,,,,11643,554,,,,193368
HR 6398,,258.8996,-38.5939,,5.96,W,STAR F7V,0.58,,0.11,,155826,6398,,0.0420,,208591
HR 3682,,138.9029,-38.5700,,4.94,,STAR K0III,1.11,,1.06,,79917,3682,,0.0270,,200159
HR 8299,,326.1229,-38.5525,,6.30,,STAR G5III,1.12,,0.93,,206642,8299,,,,213248
HR 2981,,115.3158,-38.5336,,5.42,,STAR B5V,-0.15,,-0.56,,62226,2981,,,,198298
HR 8046,,315.6133,-38.5306,,5.94,,STAR K0IV,1.11,,,,200073,8046,,0.0180,,212653
HR 2986,,115.4917,-38.5289,,6.54,,STAR B7V,-0.09,,-0.40,?,62376,2986,,,,198315
HR 2055,,88.1988,-38.5258,,6.70,W,STAR K1III,1.08,,,,39752,2055,D,0.0030,,196274
HR 6503,,262.3571,-38.5167,,6.39,W,STAR A2V,0.09,,,,158156,6503,,,,208870
HR 1877,,83.2138,-38.5131,,5.48,,STAR K2III,1.22,,1.34,,36848,1877,,-0.0080,,195948
HR 3035,,116.8542,-38.5111,,5.08,W,STAR B2III,-0.10,,-0.65,,63465,3035,,-0.0040,,198442
HR 185,Lam1Scl,10.6788,-38.4633,,6.06,W,STAR A0V,-0.03,,-0.13,,4065,185,,,,192690
HR 863,Psi For,43.3933,-38.4369,,5.92,,STAR F6IV,0.44,,0.07,,18149,863,,,,193965
HR 195,Lam2Scl,11.0504,-38.4217,,5.90,,STAR K1III,1.16,,1.18,,4211,195,,0.0100,,192703
HR 535,,27.4533,-38.4039,,6.37,W,STAR F8V,0.52,,,,11262,535,,0.0220,,193326
HR 3766,,142.3179,-38.4039,,6.19,,STAR A7V,0.22,,,,82165,3766,,,,200419
HR 5092,,203.0221,-38.3992,,6.16,,STAR K1III,1.04,,,,117597,5092,,,,204561
HR 2482,,100.5683,-38.3986,,6.29,W,STAR A3V,0.34,,0.13,,48543,2482,D,0.0030,,197108
HR 5948,Eta Lup,240.0304,-38.3969,,3.41,W,STAR B2IV,-0.22,,-0.83,,143118,5948,D,0.0080,,207208
HR 8379,,329.8246,-38.3953,,5.50,,STAR K0III,1.00,,,,208737,8379,,,,213452
HR 805,,40.5275,-38.3839,,6.01,,STAR G8III,0.92,,,,16975,805,,,,193873
HR 2685,,106.5096,-38.3828,,6.11,,STAR G0II,0.70,,,,54153,2685,,,,197572
HR 3388,,128.3329,-38.3711,,6.49,,STAR B2V,-0.18,,-0.65,,72787,3388,,,,199363
HR 7021,Lam CrA,280.9454,-38.3236,,5.13,W,STAR A2V,0.09,,,,172777,7021,,0.0240,,210501
HR 2769,,109.1325,-38.3189,,5.80,,STAR B4V,-0.13,,-0.59,,56733,2769,,,,197785
HR 2961,,114.8642,-38.3083,,4.84,,STAR B2V,-0.19,,-0.66,,61831,2961,,,,198253
HR 3716,,140.1233,-37.5814,,6.05,,STAR K3III,1.39,,,,80774,3716,,,,200257
HR 5508,,221.7713,-38.2908,,5.94,,STAR K3III,1.33,,,,130055,5508,,,,205937
HR 3296,,125.8217,-38.2858,,6.32,,STAR M1III,1.63,,1.86,,70946,3296,,,,199166
HR 2964,,114.9492,-38.2608,,5.76,,STAR B2V,-0.07,,-0.54,,61899,2964,,,,198268
HR 7197,,285.8238,-38.2533,,5.74,,STAR F0III,0.32,,,,176723,7197,,,,210859
HR 8671,,341.9463,-38.2219,,6.71,,STAR F4IV,0.48,,-0.02,?,215724,8671,,,,214087
HR 5697,,230.3754,-38.2192,,6.48,W,STAR A0,-0.06,,-0.30,,136347,5697,,,,206543
HR 3001,,115.9287,-38.2019,,6.40,,STAR B9V,-0.16,,-0.48,,62712,3001,,,,198352
HR 893,,44.3862,-38.1911,,6.41,,STAR A0V,-0.03,,,,18546,893,,,,194007
HR 5722,,231.2775,-38.1694,,7.03,W,STAR A2V,0.09,,,,137015,5722,,,,206607
HR 2465,,99.9871,-38.1589,,6.58,,STAR K1III,1.18,,,,48087,2465,,,,197064
HR 6210,,250.9483,-38.1567,,6.05,W,STAR B9II,-0.06,,,,150608,6210,,,,207966
HR 6327,,255.9617,-38.1522,,5.91,,STAR F4IV,0.38,,-0.02,,153890,6327,,,,208355
HR 2444,,99.2579,-38.1467,,6.04,W,STAR K0III,1.03,,0.84,,47463,2444,,,,197011
HR 2963,,114.9325,-38.1394,,5.73,W,STAR B5V,-0.12,,-0.49,,61878,2963,D,0.0060,,198265
HR 494,,25.3638,-38.1331,,6.17,,STAR F2V,0.42,,0.04,,10481,494,,,,193255
HR 6613,,266.7804,-38.1117,,6.43,W,STAR B9V,-0.02,,,,161390,6613,D,0.0090,,209246
HR 7853,,308.7313,-38.0897,,6.44,,STAR A8III,0.26,,,,195814,7853,,,,212246
HR 6557,,264.3617,-38.0656,,6.26,,STAR G2I,1.25,,,,159633,6557,,,,209034
HR 5585,,225.3042,-38.0583,,5.89,,STAR K2III,1.24,,,,132604,5585,,,,206208
HR 7605,,299.4221,-38.0583,,6.55,,STAR F4V,0.39,,,,188642,7605,,,,211686
HR 6247,Mu 1Sco,252.9675,-38.0475,,3.08,,STAR B1V,-0.20,,-0.87,,151890,6247,,,,208102
HR 6252,Mu 2Sco,253.0838,-38.0175,,3.57,,STAR B2IV,-0.21,,-0.85,,151985,6252,,,,208116
HR 4372,,169.2992,-38.0144,,6.27,,STAR A3V,0.10,,,,98161,4372,,,,202283
HR 2945,,114.4383,-38.0106,,6.38,,STAR K4III,1.48,,,,61453,2945,,,,198210
HR 4086,,155.8721,-38.0100,,5.33,,STAR A8V,0.25,,,,90132,4086,,0.0150,,201346
HR 780,,39.6033,-37.9906,,6.49,,STAR G0IV,0.52,,,,16589,780,,,,193834
HR 3017,,116.3138,-37.9686,,3.61,,STAR K2I,1.73,,1.72,,63032,3017,,0.0060,,198398
HR 3011,,116.1425,-37.9431,,5.88,,STAR B7V,-0.11,,-0.36,,62893,3011,,,,198379
HR 7652,,300.8896,-37.9408,,4.77,,STAR K5III,1.41,,1.68,,189831,7652,,0.0200,E,211767
HR 3022,,116.5433,-37.9339,,5.88,,STAR B7V,-0.11,,-0.47,,63215,3022,,,,198416
HR 2518,,101.8392,-37.9297,,5.26,W,STAR B9IV,-0.08,,-0.25,,49591,2518,,,,197215
HR 3233,,123.2146,-37.9244,,6.43,,STAR A3V,0.10,,0.08,,68862,3233,,,,198942
HR 5864,,236.8708,-37.9164,,6.01,W,STAR G6V,0.72,,0.31,,140901,5864,,0.0750,,206976
HR 3892,,147.3671,-37.1864,,5.97,,STAR K1III,1.24,,,,85206,3892,,,,200777
HR 7971,,312.7529,-37.9133,,5.52,,STAR K3II,1.38,,1.63,?,198357,7971,,,,212488
HR 7254,Alp CrA,287.3679,-37.9044,,4.11,,STAR A2V,0.04,,0.08,,178253,7254,,0.0360,,210990
HR 2353,,96.7812,-37.8956,,6.48,W,STAR F3V,0.39,,,,45680,2353,,,,196842
HR 3016,,116.2692,-37.8878,,6.54,,STAR B3IV,-0.10,,-0.63,,62991,3016,,,,198390
HR 5367,Psi Cen,215.1392,-37.8853,,4.05,W,STAR A0IV,-0.03,,-0.11,,125473,5367,,0.0030,,205453
HR 5579,,224.8079,-37.8814,,6.47,,STAR B8V,-0.08,,,,132238,5579,,,,206167
HR 4631,,182.6408,-37.8703,,6.06,,STAR A5V,0.20,,,,105776,4631,,,,203195
HR 5975,,241.1529,-37.8631,,5.90,W,STAR F3IV,0.40,,,,143928,5975,,,,207297
HR 359,,18.1892,-37.8564,,5.92,,STAR F0III,0.28,,0.12,,7312,359,,,,192980
HR 8200,,321.5954,-37.8294,,5.63,,STAR K2III,1.19,,1.22,,203949,8200,,,,212998
HR 8937,Bet Scl,353.2429,-37.8183,,4.37,,STAR B9IV,-0.09,,-0.36,,221507,8937,,,,214615
HR 2869,,112.0950,-37.8103,,6.58,,STAR A1IV,0.06,,0.04,,59466,2869,,,,198031
HR 7232,,286.7188,-37.8103,,6.16,,STAR G5IV,0.72,,0.28,,177565,7232,,0.0630,,210937
HR 6450,,260.6642,-37.8050,,6.41,W,STAR B4I,0.64,,-0.32,,157038,6450,,,,208740
HR 5543,,223.2129,-37.8033,,5.03,,STAR B7III,-0.16,,-0.72,,131120,5543,,,,206037
HR 4979,,198.0133,-37.8031,,4.85,,STAR G3V,0.70,,0.31,,114613,4979,,0.0530,,204227
HR 5471,,220.4900,-37.7936,,4.00,,STAR B3V,-0.17,,-0.70,,129116,5471,,,,205839
HR 2510,,101.5504,-37.7756,,6.21,,STAR B4V,-0.13,,-0.64,,49336,2510,,,,197195
HR 3735,,140.9367,-37.7572,,6.48,,STAR A1,0.18,,,,81309,3735,,,,200320
HR 4557,,178.6075,-37.7489,,6.46,W,STAR F7V,0.52,,-0.03,,103437,4557,,0.0520,,202926
HR 4411,,171.3879,-37.7478,,5.89,W,STAR M3III,1.54,,1.72,,99333,4411,,,,202430
HR 8367,,329.2592,-37.7469,,6.18,,STAR F1III,0.33,,,,208435,8367,,,,213427
HR 2263,,94.2550,-37.7375,,5.53,,STAR K1III,1.14,,1.11,,43899,2263,,,,196653
HR 7629,,300.0663,-37.7022,,5.95,W,STAR G8III,1.00,,0.77,,189195,7629,,,,211719
HR 2399,,98.0888,-37.6967,,5.24,,STAR G8III,1.00,,,,46568,2399,,0.0160,,196917
HR 3195,,122.1567,-37.6814,,6.37,,STAR B4V,-0.04,,-0.56,,67888,3195,,,,198848
HR 2053,,88.1383,-37.6311,,5.63,W,STAR K1III,1.04,,0.87,,39720,2053,,,,196266
HR 1189,,57.1475,-37.6222,,5.40,W,STAR A1V,0.01,,0.01,,24071,1189,,0.0240,,194550
HR 6298,,254.7183,-37.6211,,6.09,W,STAR A3V,0.19,,0.11,,153072,6298,D,0.0180,,208259
HR 1190,,57.1496,-37.6206,,4.73,W,STAR B9V,-0.03,,-0.07,,24072,1190,,0.0240,,194551
HR 3399,,128.6221,-37.6114,,6.30,W,STAR K5III,1.56,,1.74,,72993,3399,,,,199389
HR 3677,,138.7383,-37.6025,,5.86,,STAR G0V,0.83,,,,79807,3677,,,,200152
HR 7273,,288.0408,-37.5828,,6.57,,STAR G2III,1.02,,,,178937,7273,,,,211037
HR 2968,,114.9917,-37.5794,,6.00,,STAR B6IV,-0.04,,-0.46,,61925,2968,,,,198273
HR 700,,35.7771,-37.5764,,6.53,,STAR K2III,1.61,,1.94,,14890,700,,,,193679
HR 6100,,246.1321,-37.5658,,5.42,W,STAR B8IV,-0.11,,-0.40,,147628,6100,,,,207637
