star_name,star_constellation,star_other_name
HD 175191,Sagittarius,"Nunki, σ-Sgr, 34-Sgr, HR 7121, HIP 92855, TYC 6868-1829-1"
HD 6860,Andromeda,"Mirach, β-And, 43-And, HR 337, NSV 414, HIP 5447, TYC 2286-1329-1"
HD 159561,Ophiuchus,"Rasalhague, α-Oph, 55-Oph, HR 6556, NSV 9189, HIP 86032, TYC 1000-2508-1"
HD 19356,Perseus,"Algol, β-Per, 26-Per, HR 936, HIP 14576, TYC 2851-2168-1"
HD 214952,Grus,"β-Gru, HR 8636, HIP 112122, TYC 8446-1644-1"
HD 102647,Leo,"Denebola, β-Leo, 94-Leo, HR 4534, HIP 57632, TYC 870-988-1"
HD 12533,Andromeda,"Almach, γ¹-And, 57-And, HR 603, HIP 9640, TYC 2837-2311-1"
HD 5394,Cassiopeia,"γ-Cas, 27-Cas, HR 264, HIP 4427, TYC 4017-2319-1"
HD 78647,Vela,"Suhail, λ-Vel, HR 3634, HIP 44816, TYC 7689-2617-1"
HD 194093,Cygnus,"Sadr, γ-Cyg, 37-Cyg, HR 7796, NSV 13048, HIP 100453, TYC 3156-2223-1, Gaia EDR3- 2067518817314952576"
HD 66811,Puppis,"Naos, ζ-Pup, HR 3165, HIP 39429, TYC 7663-4093-1, Gaia EDR3- 5534788672055388032"
HD 116656,Ursa Major,"Mizar, ζ-UMa, 79-UMa, HR 5054, NSV 6224, HIP 65378, TYC 3850-1385-1, Gaia EDR3- 1563590579347125632"
HD 139006,Corona Borealis,"Alphecca, α-CrB, 5-CrB, HR 5793, HIP 76267, TYC 2029-1690-1, Gaia EDR3- 1222646935698492160"
HD 36486,Orion,"Mintaka, δ-Ori, 34-Ori, HR 1852, HIP 25930, TYC 4766-2445-1, Gaia EDR3- 3220756843825383936"
HD 89484,Leo,"Algieba, γ¹-Leo, 41-Leo, HR 4057, NSV 4823, HIP 50583, TYC 1423-1349-1"
HD 164058,Draco,"Eltanin, γ-Dra, 33-Dra, HR 6705, HIP 87833, TYC 3523-1684-1"
HD 3712,Cassiopeia,"Schedar, α-Cas, 18-Cas, HR 168, HIP 3179, TYC 3663-2668-1, Gaia EDR3- 418551920284673408"
HD 80404,Carina,"Aspidiske, ι-Car, HR 3699, NSV 4444, HIP 45556, TYC 8595-3312-1, Gaia EDR3- 5300300156538723328"
HD 151680,Scorpius,"ε-Sco, 26-Sco, HR 6241, NSV 7983, HIP 82396, TYC 7367-804-1"
HD 432,Cassiopeia,"Caph, β-Cas, 11-Cas, HR 21, HIP 746, TYC 3664-1985-1"
HD 118716,Centaurus,"ε-Cen, HR 5132, HIP 66657, TYC 8663-2929-1"
HD 129056,Lupus,"α-Lup, HR 5469, HIP 71860, TYC 8283-4134-1, Gaia EDR3- 5905821894507108864"
HD 143275,Scorpius,"Dschubba, δ-Sco, 7-Sco, HR 5953, HIP 78401, TYC 6779-2194-1"
HD 127972,Centaurus,"η-Cen, HR 5440, HIP 71352, TYC 7814-3706-1"
HD 95418,Ursa Major,"Merak, β-UMa, 48-UMa, HR 4295, NSV 5053, HIP 53910, TYC 3827-1079-1"
HD 2261,Phoenix,"Ankaa, α-Phe, HR 99, HIP 2081, TYC 7527-1031-1"
HD 160578,Scorpius,"κ-Sco, HR 6580, HIP 86670, TYC 7885-2065-1, Gaia EDR3- 5961206940987571200"
HD 206778,Pegasus,"Enif, ε-Peg, 8-Peg, HR 8308, HIP 107315, TYC 1125-2186-1"
HD 103287,Ursa Major,"Phecda, γ-UMa, 64-UMa, HR 4554, NSV 5379, HIP 58001, TYC 3833-1034-1"
HD 155125,Ophiuchus,"Sabik, η-Oph, 35-Oph, HR 6378, HIP 84012, TYC 6232-1333-1"
HD 58350,Canis Major,"Aludra, η-CMa, 31-CMa, HR 2827, HIP 35904, TYC 6550-4525-1, Gaia EDR3- 5605797194566011520"
HD 197989,Cygnus,"ε-Cyg, 53-Cyg, HR 7949, HIP 102488, TYC 2695-4139-1"
