star_name,star_constellation,star_other_name
HD 61429,Puppis,"PU Pup, m-Pup, HR 2944, HIP 37173, TYC 6543-3376-1, Gaia EDR3- 5614158258941878144"
HD 90772,Carina,"V399 Car, P-Car, HR 4110, HIP 51192, TYC 8609-3069-1, Gaia EDR3- 5351701122540337792"
HD 11977,Hydrus,"η²-Hyi, HR 570, HIP 8928, TYC 9143-238-1, Gaia EDR3- 4697508196671120000"
HD 63744,Puppis,"Q-Pup, HR 3046, HIP 38089, TYC 8138-3767-1, Gaia EDR3- 5530571254685558144"
HD 110829,Crux,"ι-Cru, HR 4842, HIP 62268, TYC 8988-2172-1, Gaia EDR3- 6056280336995073152"
HD 28100,Taurus,"π-Tau, 73-Tau, HR 1396, HIP 20732, TYC 680-993-1, Gaia EDR3- 3310973422151441024"
HD 138769,Lupus,"d-Lup, HR 5781, HIP 76371, TYC 7848-2378-1, Gaia EDR3- 6001046782644084736"
HD 65953,Monoceros,"V645 Mon, 28-Mon, HR 3141, HIP 39211, TYC 4846-2652-1, Gaia EDR3- 3083024286391515136"
HD 35039,Orion,"o-Ori, 22-Ori, HR 1765, HIP 25044, TYC 4752-1608-1, Gaia EDR3- 3221269181884277504"
HD 221760,Phoenix,"ι-Phe, HR 8949, HIP 116389, TYC 8020-969-1"
HD 217382,Cepheus,"HR 8748, HIP 113116, TYC 4650-3036-1, Gaia EDR3- 2300042917875540992"
HD 164975,Sagittarius,"W Sgr, W-Sgr, HR 6742, HIP 88567, TYC 6854-4373-1, Gaia EDR3- 4050309195613114624"
HD 26673,Perseus,"f-Per, 52-Per, HR 1306, HIP 19811, TYC 2882-2046-1"
HD 188376,Sagittarius,"ω-Sgr, 58-Sgr, HR 7597, HIP 98066, TYC 6899-2595-1"
HD 172748,Scutum,"δ-Sct, HR 7020, HIP 91726, TYC 5692-2505-1, Gaia EDR3- 4155413814250528128"
HD 206826,Cygnus,"μ¹-Cyg, 78-Cyg, HR 8309, HIP 107310, TYC 2201-2078-1, Gaia EDR3- 1801210568415251072"
HD 144206,Hercules,"υ-Her, 6-Her, HR 5982, HIP 78592, TYC 3491-1859-1, Gaia EDR3- 1398436236272992256"
HD 142114,Scorpius,"A-Sco, 2-Sco, HR 5904, HIP 77840, TYC 6782-2147-1, Gaia EDR3- 6235654766990811008"
HD 115604,Canes Venatici,"AO CVn, 20-CVn, HR 5017, HIP 64844, TYC 3022-2306-1, Gaia EDR3- 1524913024458144256"
HD 121474,Centaurus,"HR 5241, HIP 68191, TYC 9008-4454-1, Gaia EDR3- 5864427996198128640"
HD 42933,Pictor,"δ-Pic, HR 2212, HIP 29276, TYC 8525-1313-1, Gaia EDR3- 5499415974230271488"
HD 132813,Ursa Minor,"RR UMi, RR-UMi, HR 5589, HIP 73199, TYC 4186-1373-1, Gaia EDR3- 1621259036510505344"
HD 104841,Crux,"θ²-Cru, HR 4603, HIP 58867, TYC 8978-6111-1, Gaia EDR3- 6054349903822813824"
HD 18604,Cetus,"λ-Cet, 91-Cet, HR 896, HIP 13954, TYC 641-985-1, Gaia EDR3- 8900825800310016"
HD 221565,Aquarius,"b³-Aqr, 101-Aqr, HR 8939, HIP 116247, TYC 6409-1232-1"
HD 202627,Microscopium,"ε-Mic, HR 8135, HIP 105140, TYC 7476-923-1, Gaia EDR3- 6784024126773616128"
HD 91375,Carina,"K-Car, HR 4138, HIP 51438, TYC 9219-3722-1, Gaia EDR3- 5230380631566903808"
HD 140008,Lupus,"ψ²-Lup, 4-Lup, HR 5839, HIP 76945, TYC 7335-936-1, Gaia EDR3- 6014848745955612672"
HD 102070,Crater,"ζ-Crt, 27-Crt, HR 4514, HIP 57283, TYC 6096-2032-1, Gaia EDR3- 3544125550016418048"
HD 22001,Reticulum,"κ-Ret, HR 1083, HIP 16245, TYC 8870-1384-1, Gaia EDR3- 4674061076849768832"
HD 188310,Aquila,"Libertas, ξ-Aql, 59-Aql, HR 7595, HIP 97938, TYC 1058-3400-1, Gaia EDR3- 4298361114753012992"
HD 36167,Orion,"CI Ori, 31-Ori, HR 1834, HIP 25737, TYC 4753-1894-1, Gaia EDR3- 3220275601329091584"
HD 76805,Vela,"H-Vel, HR 3574, HIP 43878, TYC 8582-4212-1, Gaia EDR3- 5323643028911351808"
HD 209100,Indus,"ε-Ind, HR 8387, HIP 108870, TYC 8817-984-1, Gaia EDR3- 6412595290592307840"
HD 92397,Carina,"t²-Car, HR 4177, NSV 4922, HIP 52102, TYC 8613-3365-1, Gaia EDR3- 5350588691660896128"
HD 33262,Dorado,"ζ-Dor, HR 1674, HIP 23693, TYC 8514-2291-1, Gaia EDR3- 4763906879239461632"
HD 24072,Eridanus,"f-Eri, HR 1189, HIP 17797, TYC 7570-1585-1"
HD 144197,Norma,"δ-Nor, HR 5980, HIP 78914, TYC 8310-1489-1"
HD 24555,Eridanus,"w-Eri, 32-Eri, HR 1212, HIP 18255, TYC 4721-1218-1, Gaia EDR3- 3247046373003772032"
HD 81169,Pyxis,"λ-Pyx, HR 3733, HIP 46026, TYC 6600-2227-1, Gaia EDR3- 5636377945815560192"
HD 91312,Ursa Major,"HR 4132, HIP 51658, TYC 3005-1206-1, Gaia EDR3- 756291174721509376"
HD 68290,Puppis,"19-Pup, HR 3211, HIP 40084, TYC 5434-3731-1, Gaia EDR3- 5726736979617591808"
HD 163955,Sagittarius,"4-Sgr, HR 6700, HIP 88116, TYC 6841-1403-1"
HD 176638,Corona Australis,"ζ-CrA, HR 7188, HIP 93542, TYC 7925-2795-1, Gaia EDR3- 6715596505954270080"
HD 20336,Camelopardalis,"BK Cam, HR 985, HIP 15520, TYC 4061-1593-1"
HD 50635,Gemini,"e-Gem, 38-Gem, HR 2564, NSV 3266, HIP 33202, TYC 760-2586-1"
HD 184171,Cygnus,"8-Cyg, HR 7426, HIP 96052, TYC 2663-1148-1, Gaia EDR3- 2046564633962669184"
HD 117675,Virgo,"l-Vir, 74-Vir, HR 5095, NSV 6297, HIP 66006, TYC 4972-1456-1, Gaia EDR3- 3631753877970312576"
HD 198743,Aquarius,"μ-Aqr, 6-Aqr, HR 7990, HIP 103045, TYC 5757-1943-1"
HD 90277,Leo Minor,"30-LMi, HR 4090, HIP 51056, TYC 2514-1294-1, Gaia EDR3- 749214855324239232"
HD 36960,Orion,"HR 1887, HIP 26199, TYC 4778-1403-1, Gaia EDR3- 3017187866581304832"
HD 21428,Perseus,"34-Per, HR 1044, HIP 16244, TYC 3320-2810-1, Gaia EDR3- 441525562910578176"
HD 80874,Pyxis,"θ-Pyx, HR 3718, HIP 45902, TYC 6592-2420-1, Gaia EDR3- 5638274087975114240"
HD 81799,Hydra,"G-Hya, HR 3749, HIP 46371, TYC 6041-1680-1"
HD 222095,Phoenix,"HR 8959, HIP 116602, TYC 8456-967-1, Gaia EDR3- 6525687929889822336"
HD 92938,Carina,"HR 4196, HIP 52370, TYC 8965-1766-1, Gaia EDR3- 5239823134370969088"
HD 16754,Eridanus,"s-Eri, HR 789, HIP 12413, TYC 7558-987-1"
HD 14872,Andromeda,"65-And, HR 699, HIP 11313, TYC 3302-1892-1, Gaia EDR3- 451517958939484928"
HD 24072,Eridanus,"HR 1190, NSV 1359"
HD 120955,Centaurus,"h-Cen, 4-Cen, HR 5221, HIP 67786, TYC 7283-2099-1, Gaia EDR3- 6171681877649374080"
HD 107383,Coma Berenices,"11-Com, HR 4697, HIP 60202, TYC 1445-2560-1, Gaia EDR3- 3946945413106333696"
HD 145366,Apus,"δ¹-Aps, HR 6020, HIP 80047, TYC 9446-3517-1, Gaia EDR3- 5778842011026728704"
HD 8491,Cassiopeia,"ψ-Cas, 36-Cas, HR 399, HIP 6692, TYC 4297-1685-1, Gaia EDR3- 531667443164972416"
HD 206453,Capricornus,"κ-Cap, 43-Cap, HR 8288, HIP 107188, TYC 6370-1175-1, Gaia EDR3- 6836557216095979136"
HD 36371,Auriga,"χ-Aur, 25-Aur, HR 1843, HIP 25984, TYC 2407-2149-1, Gaia EDR3- 3448691754658000640"
HD 95578,Leo,"p²-Leo, 61-Leo, HR 4299, NSV 5059, HIP 53907, TYC 4921-1207-1"
HD 145328,Corona Borealis,"τ-CrB, 16-CrB, HR 6018, NSV 7488, HIP 79119, TYC 2579-2094-1, Gaia EDR3- 1378163509599547520"
HD 218640,Aquarius,"c³-Aqr, 89-Aqr, HR 8817, HIP 114375, TYC 6401-1356-1, Gaia EDR3- 2385897355615864192"
HD 56456,Puppis,"HR 2762, HIP 35020, TYC 8123-2767-1, Gaia EDR3- 5508659362328792704"
HD 34968,Lepus,"HR 1762, NSV 1940, HIP 24927, TYC 5927-1581-1, Gaia EDR3- 2962212521412699264"
HD 115617,Virgo,"61-Vir, HR 5019, HIP 64924, TYC 6116-1517-1, Gaia EDR3- 3507879565090229888"
HD 2772,Cassiopeia,"λ-Cas, 14-Cas, HR 123, HIP 2505, TYC 3658-2414-1"
HD 21790,Eridanus,"v-Eri, 17-Eri, HR 1070, HIP 16341, TYC 4722-1534-1, Gaia EDR3- 3248382657587709056"
HD 125161,Bootes,"ι-Boo, 21-Boo, HR 5350, HIP 69713, TYC 3478-1333-1, Gaia EDR3- 1511727333122255744"
HD 192685,Vulpecula,"QR Vul, HR 7739, HIP 99824, TYC 2159-2068-1, Gaia EDR3- 1835335977682835200"
HD 38944,Auriga,"υ-Aur, 31-Aur, HR 2011, NSV 2661, HIP 27639, TYC 2418-1571-1, Gaia EDR3- 3456177332896378496"
HD 123569,Centaurus,"HR 5297, HIP 69191, TYC 8665-2921-1, Gaia EDR3- 5896820467691187968"
HD 200120,Cygnus,"V832 Cyg, f¹-Cyg, 59-Cyg, HR 8047, HIP 103632, TYC 3579-4461-1"
HD 193432,Capricornus,"ν-Cap, 8-Cap, HR 7773, HIP 100310, TYC 5749-2531-1, Gaia EDR3- 6879844473490229888"
HD 180554,Vulpecula,"1-Vul, HR 7306, NSV 11866, HIP 94703, TYC 1611-2043-1, Gaia EDR3- 4517063392099836800"
HD 102584,Musca,"μ-Mus, HR 4530, HIP 57581, TYC 8985-3046-1, Gaia EDR3- 5236290747119515008"
HD 7964,Pisces,"υ-Psc, 90-Psc, HR 383, HIP 6193, TYC 1751-2178-1, Gaia EDR3- 296483280365523840"
HD 83953,Hydra,"I-Hya, HR 3858, HIP 47522, TYC 6602-2080-1, Gaia EDR3- 5663583299457858816"
HD 141992,Serpens Caput,"ρ-Ser, 38-Ser, HR 5899, NSV 7300, HIP 77661, TYC 1502-1782-1, Gaia EDR3- 1216544921044652032"
HD 15798,Cetus,"σ-Cet, 76-Cet, HR 740, HIP 11783, TYC 5860-2587-1"
HD 112769,Coma Berenices,"36-Com, HR 4920, NSV 6046, HIP 63355, TYC 1450-1133-1, Gaia EDR3- 3937690377059272704"
HD 68456,Carina,"B-Car, HR 3220, HIP 39903, TYC 8924-2780-1"
HD 164284,Ophiuchus,"V2048 Oph, 66-Oph, HR 6712, HIP 88149, TYC 438-2741-1"
HD 18293,Hydrus,"ν-Hyi, HR 872, HIP 13244, TYC 9362-1344-1, Gaia EDR3- 4640087816818486528"
HD 30959,Orion,"O¹-Ori, 4-Ori, HR 1556, HIP 22667, TYC 696-1788-1, Gaia EDR3- 3296627028792695168"
HD 68601,Puppis,"HR 3226, HIP 40096, TYC 7668-3980-1, Gaia EDR3- 5521252069013332736"
HD 2834,Phoenix,"λ¹-Phe, HR 125, HIP 2472, TYC 8027-1305-1, Gaia EDR3- 4975414983274332800"
HD 195627,Pavo,"φ¹-Pav, HR 7848, HIP 101612, TYC 9100-1712-1, Gaia EDR3- 6454999399628150016"
HD 139997,Libra,"κ-Lib, 43-Lib, HR 5838, NSV 7200, HIP 76880, TYC 6193-631-1"
HD 42818,Camelopardalis,"HR 2209, HIP 29997, TYC 4345-2051-1"
HD 68980,Puppis,"MX Pup, r-Pup, HR 3237, HIP 40274, TYC 7133-4588-1, Gaia EDR3- 5544672044638408832"
HD 116976,Virgo,"69-Vir, HR 5068, NSV 6253, HIP 65639, TYC 6120-921-1, Gaia EDR3- 3604865252393354112"
HD 98353,Ursa Major,"55-UMa, HR 4380, HIP 55266, TYC 3010-2501-1"
HD 160032,Ara,"λ-Ara, HR 6569, HIP 86486, TYC 8351-2577-1, Gaia EDR3- 5946685759563224960"
HD 39400,Orion,"56-Ori, HR 2037, NSV 2690, HIP 27750, TYC 116-1329-1, Gaia EDR3- 3315870440783129600"
HD 199081,Cygnus,"57-Cyg, HR 8001, NSV 13388, HIP 103089, TYC 3179-1354-1, Gaia EDR3- 2162953368584828032"
HD 218356,Pegasus,"56-Peg, HR 8796, NSV 14429, HIP 114155, TYC 2239-1475-1"
HD 99998,Leo,"e-Leo, 87-Leo, HR 4432, HIP 56127, TYC 4933-1387-1, Gaia EDR3- 3793247534517512064"
HD 120933,Canes Venatici,"AW CVn, HR 5219, HIP 67665, TYC 2547-1181-1, Gaia EDR3- 1459043241342371328"
HD 156277,Apus,"ζ-Aps, HR 6417, HIP 84969, TYC 9276-1692-1, Gaia EDR3- 5811760117856643072"
HD 74272,Vela,"n-Vel, HR 3452, HIP 42624, TYC 8155-3647-1, Gaia EDR3- 5329412200783621120"
HD 28527,Taurus,"HR 1427, NSV 1627, HIP 21029, TYC 1265-1169-1, Gaia EDR3- 3312849326428424704"
HD 107950,Canes Venatici,"5-CVn, HR 4716, HIP 60485, TYC 3458-2328-1, Gaia EDR3- 1547805440663969920"
HD 32249,Eridanus,"ψ-Eri, 65-Eri, HR 1617, HIP 23364, TYC 4762-1492-1, Gaia EDR3- 3187058564780234496"
HD 144070,Scorpius,"ξ-Sco, HR 5978"
HD 171635,Draco,"d-Dra, 45-Dra, HR 6978, HIP 90905, TYC 3913-2269-1, Gaia EDR3- 2148205378601490688"
HD 5112,Cetus,"20-Cet, HR 248, HIP 4147, TYC 4674-1183-1, Gaia EDR3- 2535891460567764224"
HD 148605,Scorpius,"i-Sco, 22-Sco, HR 6141, HIP 80815, TYC 6799-932-1, Gaia EDR3- 6046050824364599936"
HD 109485,Coma Berenices,"23-Com, HR 4789, HIP 61394, TYC 1990-3784-1"
HD 18970,Perseus,"k-Per, HR 918, HIP 14382, TYC 3709-1135-1, Gaia EDR3- 460022372142253696"
HD 49161,Monoceros,"17-Mon, HR 2503, HIP 32533, TYC 747-2464-1, Gaia EDR3- 3134103267293244416"
HD 172555,Pavo,"HR 7012, HIP 92024, TYC 9077-2487-1, Gaia EDR3- 6438274350302427776"
HD 4188,Cetus,"φ¹-Cet, 17-Cet, HR 194, NSV 278, HIP 3455, TYC 5269-2450-1, Gaia EDR3- 2377777840203597952"
HD 209409,Aquarius,"O-Aqr, 31-Aqr, HR 8402, HIP 108874, TYC 5224-1808-1, Gaia EDR3- 2676509823708845056"
HD 114911,Musca,"η-Mus, HR 4993, HIP 64661, TYC 9242-1816-1"
HD 11973,Aries,"λ-Ari, 9-Ari, HR 569, NSV 680, HIP 9153, TYC 1757-1964-1, Gaia EDR3- 104716907609412352"
HD 37507,Orion,"d-Ori, 49-Ori, HR 1937, HIP 26563, TYC 4779-700-1, Gaia EDR3- 3016083407149428096"
HD 152236,Scorpius,"ζ¹-Sco, HR 6262, HIP 82671, TYC 7876-2743-1, Gaia EDR3- 5964986649547042944"
HD 189831,Sagittarius,"HR 7652, HIP 98761, TYC 7947-3890-1, Gaia EDR3- 6696934666893316736"
HD 17824,Eridanus,"τ²-Eri, 2-Eri, HR 850, HIP 13288, TYC 5870-1028-1"
HD 80499,Hydra,"26-Hya, HR 3706, HIP 45751, TYC 5467-1858-1, Gaia EDR3- 5738958360595725312"
HD 212571,Aquarius,"π-Aqr, 52-Aqr, HR 8539, HIP 110672, TYC 560-1818-1, Gaia EDR3- 2702544403629124224"
HD 32045,Eridanus,"S Eri, S-Eri, 64-Eri, HR 1611, HIP 23231, TYC 5329-2016-1, Gaia EDR3- 3180168097208521216"
HD 65456,Puppis,"χ-Pup, HR 3113, NSV 3830, HIP 38901, TYC 7120-2422-1, Gaia EDR3- 5596975125580580736"
HD 76827,Ursa Major,"ρ-UMa, 8-UMa, HR 3576, NSV 4344, HIP 44390, TYC 4375-2458-1, Gaia EDR3- 1117104986348319232"
HD 125442,Lupus,"HR 5364, HIP 70104, TYC 8277-3276-1, Gaia EDR3- 6096357329629838976"
HD 160922,Draco,"ω-Dra, 28-Dra, HR 6596, HIP 86201, TYC 4428-1960-1, Gaia EDR3- 1637717179389828224"
HD 216446,Cepheus,"HR 8702, HIP 112519, TYC 4650-3037-1, Gaia EDR3- 2299721723041327104"
HD 146624,Scorpius,"d-Sco, HR 6070, HIP 79881, TYC 6805-1909-1, Gaia EDR3- 6039093149153220480"
HD 3901,Cassiopeia,"ξ-Cas, 19-Cas, HR 179, NSV 260, HIP 3300, TYC 3257-2189-1"
HD 156266,Ophiuchus,"41-Oph, HR 6415, HIP 84514, TYC 5066-1267-1, Gaia EDR3- 4368415982703664128"
HD 89449,Leo,"40-Leo, HR 4054, NSV 4822, HIP 50564, TYC 1423-1351-1, Gaia EDR3- 624684408880100992"
HD 206165,Cepheus,"V337 Cep, 9-Cep, HR 8279, HIP 106801, TYC 4253-2243-1, Gaia EDR3- 2216195157578923136"
HD 214994,Pegasus,"O-Peg, 43-Peg, HR 8641, HIP 112051, TYC 2232-1590-1"
HD 30834,Auriga,"2-Aur, HR 1551, HIP 22678, TYC 2399-1843-1, Gaia EDR3- 198271397081746560"
HD 224889,Octans,"θ-Oct, HR 9084, HIP 122, TYC 9350-450-1, Gaia EDR3- 4684097178470252032"
HD 13041,Andromeda,"58-And, HR 620, HIP 9977, TYC 2829-2251-1, Gaia EDR3- 332221252264204544"
HD 113996,Coma Berenices,"41-Com, HR 4954, HIP 64022, TYC 1996-2401-1, Gaia EDR3- 1460876573902483328"
HD 27819,Taurus,"δ²-Tau, 64-Tau, HR 1380, HIP 20542, TYC 1269-1244-1, Gaia EDR3- 3313978112552491136"
HD 210807,Cepheus,"24-Cep, HR 8468, HIP 109400, TYC 4471-1685-1, Gaia EDR3- 2230744513908056192"
HD 158643,Ophiuchus,"c-Oph, 51-Oph, HR 6519, NSV 9037, HIP 85755, TYC 6826-368-1, Gaia EDR3- 4110602530665608064"
HD 161840,Scorpius,"HR 6628, HIP 87220, TYC 7377-1056-1, Gaia EDR3- 4055612002737545216"
HD 212097,Pegasus,"32-Peg, HR 8522, HIP 110371, TYC 2230-2066-1, Gaia EDR3- 1893925997369932928"
HD 134687,Lupus,"e-Lup, HR 5651, HIP 74449, TYC 7834-3136-1, Gaia EDR3- 6003314456673154048"
HD 212943,Pegasus,"35-Peg, HR 8551, HIP 110882, TYC 563-1818-1, Gaia EDR3- 2707420359741156864"
HD 125932,Hydra,"k-Hya, 51-Hya, HR 5381, NSV 6648, HIP 70306, TYC 6740-785-1, Gaia EDR3- 6269720523431409536"
HD 67006,Lynx,"27-Lyn, HR 3173, HIP 39847, TYC 3414-2496-1, Gaia EDR3- 935456044713157888"
HD 115521,Virgo,"σ-Vir, 60-Vir, HR 5015, NSV 6173, HIP 64852, TYC 305-948-1"
HD 108257,Centaurus,"G-Cen, HR 4732, HIP 60710, TYC 8243-3043-1, Gaia EDR3- 6077604196752635648"
HD 84367,Antlia,"θ-Ant, HR 3871, HIP 47758, TYC 6610-2315-1"
HD 20320,Eridanus,"Zibal, ζ-Eri, 13-Eri, HR 984, NSV 1088, HIP 15197, TYC 5295-1259-1, Gaia EDR3- 5166714578981717632"
HD 212076,Pegasus,"IN Peg, 31-Peg, HR 8520, HIP 110386, TYC 1146-1242-1, Gaia EDR3- 2730700972271371776"
HD 47174,Auriga,"ψ²-Aur, 50-Aur, HR 2427, HIP 31832, TYC 2936-2025-1, Gaia EDR3- 958039566870687488"
HD 5015,Cassiopeia,"HR 244, HIP 4151, TYC 4017-2318-1, Gaia EDR3- 427322415301550208"
HD 93194,Carina,"HR 4205, HIP 52502, TYC 8965-1762-1, Gaia EDR3- 5239865225059167744"
HD 196724,Vulpecula,"29-Vul, HR 7891, HIP 101867, TYC 1645-2169-1"
HD 133124,Bootes,"ω-Boo, 41-Boo, HR 5600, HIP 73568, TYC 2020-1409-1, Gaia EDR3- 1264797229346287744"
HD 203006,Microscopium,"θ¹-Mic, HR 8151, HIP 105382, TYC 7983-1200-1"
HD 125351,Bootes,"A-Boo, HR 5361, HIP 69879, TYC 2552-1081-1"
HD 193237,Cygnus,"P Cyg, P-Cyg, 34-Cyg, HR 7763, HIP 100044, TYC 3151-3442-1, Gaia EDR3- 2061242908036996352"
HD 142091,Corona Borealis,"κ-CrB, 11-CrB, HR 5901, HIP 77655, TYC 2578-1609-1, Gaia EDR3- 1372702716380418688"
HD 54893,Puppis,"A-Pup, HR 2702, NSV 3431, HIP 34495, TYC 7633-2708-1, Gaia EDR3- 5564659825994306176"
HD 74560,Vela,"HY Vel, HR 3467, HIP 42726, TYC 8569-3954-1, Gaia EDR3- 5318486456810851072"
HD 61831,Puppis,"d¹-Pup, HR 2961, HIP 37297, TYC 7644-2700-1, Gaia EDR3- 5585285049228526080"
HD 211088,Grus,"μ¹-Gru, HR 8486, HIP 109908, TYC 7999-1569-1"
HD 82741,Lynx,"HR 3809, HIP 47029, TYC 2992-1689-1, Gaia EDR3- 812966291849963008"
HD 81101,Carina,"k-Car, HR 3728, HIP 45856, TYC 8944-3282-1, Gaia EDR3- 5298600105394226432"
HD 112142,Virgo,"ψ-Vir, 40-Vir, HR 4902, HIP 62985, TYC 5535-1713-1"
HD 27396,Perseus,"V469 Per, d-Per, 53-Per, HR 1350, HIP 20354, TYC 3329-2516-1, Gaia EDR3- 257075615399416448"
HD 34649,Dorado,"θ-Dor, HR 1744, HIP 24372, TYC 8890-1116-1, Gaia EDR3- 4658926849092629248"
HD 161912,Scorpius,"ι²-Sco, HR 6631, HIP 87294, TYC 7890-2436-1, Gaia EDR3- 5957938608303888896"
HD 66591,Carina,"D-Car, HR 3159, HIP 39138, TYC 8928-3018-1, Gaia EDR3- 5275962500997316864"
HD 79439,Ursa Major,"DD UMa, e-UMa, 18-UMa, HR 3662, HIP 45493, TYC 3806-1813-1, Gaia EDR3- 1022858010710856576"
HD 107700,Coma Berenices,"12-Com, HR 4707, NSV 5581, HIP 60351, TYC 1989-3210-1, Gaia EDR3- 4008342726516877312"
HD 108250,Crux,"256-Cru, HR 4729, TYC 8979-3466-1, Gaia EDR3- 6053807844583576064"
HD 40111,Taurus,"139-Tau, HR 2084, HIP 28237, TYC 1867-3204-1, Gaia EDR3- 3429829048565502848"
HD 123999,Bootes,"d-Boo, 12-Boo, HR 5304, HIP 69226, TYC 2010-1245-1, Gaia EDR3- 1257529526205454336"
HD 124547,Ursa Minor,"4-UMi, HR 5321, HIP 69112, TYC 4561-2317-1, Gaia EDR3- 1714135092946125184"
HD 1013,Pegasus,"χ-Peg, 89-Peg, HR 45, NSV 99, HIP 1168, TYC 1185-2319-1, Gaia EDR3- 2797816639500412288"
HD 23089,Camelopardalis,"HR 1129, HIP 17587, TYC 4067-1935-1"
HD 80586,Hydra,"P-Hya, 27-Hya, HR 3709, HIP 45811, TYC 5463-1514-1"
HD 143894,Serpens Caput,"π-Ser, 44-Ser, HR 5972, HIP 78554, TYC 2035-1749-1, Gaia EDR3- 1206369009648632320"
HD 213320,Aquarius,"σ-Aqr, 57-Aqr, HR 8573, HIP 111123, TYC 5814-1593-1"
HD 33276,Orion,"15-Ori, HR 1676, HIP 24010, TYC 1282-2291-1"
HD 89998,Vela,"r-Vel, HR 4080, NSV 4837, HIP 50799, TYC 7717-3167-1, Gaia EDR3- 5416484244558878080"
HD 50707,Canis Major,"EY CMa, 15-CMa, HR 2571, HIP 33092, TYC 5958-3292-1, Gaia EDR3- 2932263546963330176"
HD 99167,Crater,"ε-Crt, 14-Crt, HR 4402, HIP 55687, TYC 5512-1389-1, Gaia EDR3- 3589693744277156992"
HD 176524,Draco,"υ-Dra, 52-Dra, HR 7180, HIP 92782, TYC 4439-1995-1, Gaia EDR3- 2265889028699755008"
HD 17566,Hydrus,"ζ-Hyi, HR 837, HIP 12876, TYC 9145-2046-1, Gaia EDR3- 4695212588190900736"
HD 192514,Cygnus,"30-Cyg, HR 7730, NSV 12926, HIP 99639, TYC 3559-2796-1, Gaia EDR3- 2082604907127210240"
HD 78154,Ursa Major,"σ²-UMa, 13-UMa, HR 3616, NSV 4392, HIP 45038, TYC 4141-1496-1, Gaia EDR3- 1068982214258617216"
HD 222574,Aquarius,"A²-Aqr, 104-Aqr, HR 8982, NSV 14671, HIP 116901, TYC 6407-1131-1, Gaia EDR3- 2394297418293724416"
HD 129712,Bootes,"W Boo, W-Boo, 34-Boo, HR 5490, HIP 71995, TYC 2019-1252-1, Gaia EDR3- 1279618955326351488"
HD 175751,Scutum,"η-Sct, HR 7149, HIP 93026, TYC 5127-7358-1, Gaia EDR3- 4253892913176211200"
HD 147449,Serpens Caput,"σ-Ser, 50-Ser, HR 6093, HIP 80179, TYC 368-1592-1, Gaia EDR3- 4408631032807405696"
HD 113314,Centaurus,"ξ¹-Cen, HR 4933, HIP 63724, TYC 8254-2207-1, Gaia EDR3- 6084614408008359168"
HD 47667,Canis Major,"HR 2450, HIP 31827, TYC 5390-2169-1, Gaia EDR3- 2950869585804006656"
HD 56577,Canis Major,"145-CMa, HR 2764, NSV 3503, HIP 35210, TYC 6537-3290-1, Gaia EDR3- 5618016960638976896"
HD 70555,Puppis,"w-Pup, HR 3282, HIP 40945, TYC 7126-3938-1, Gaia EDR3- 5546867769366902400"
HD 5234,Cassiopeia,"υ¹-Cas, 26-Cas, HR 253, HIP 4292, TYC 3680-1840-1"
HD 153687,Ophiuchus,"30-Oph, HR 6318, NSV 8111, HIP 83262, TYC 5072-1228-1, Gaia EDR3- 4365395040146977408"
HD 33641,Auriga,"μ-Aur, 11-Aur, HR 1689, HIP 24340, TYC 2896-2101-1"
HD 34642,Columba,"O-Col, HR 1743, HIP 24659, TYC 7051-2305-1"
HD 37711,Taurus,"126-Tau, HR 1946, NSV 2560, HIP 26777, TYC 1298-373-1"
HD 152107,Hercules,"V637 Her, 52-Her, HR 6254, HIP 82321, TYC 3500-2419-1"
HD 90839,Ursa Major,"36-UMa, HR 4112, HIP 51459, TYC 3819-1373-1, Gaia EDR3- 853819947756949120"
HD 170693,Draco,"Fafnir, 42-Dra, HR 6945, HIP 90344, TYC 4222-2311-1, Gaia EDR3- 2256800156349110528"
HD 11503,Aries,"γ²-Ari, 5-Ari, HR 545"
HD 173780,Lyra,"HR 7064, HIP 92088, TYC 2116-2764-1, Gaia EDR3- 4537855878510208000"
HD 16620,Cetus,"ε-Cet, 83-Cet, HR 781, HIP 12390, TYC 5288-1093-1"
HD 8799,Andromeda,"ω-And, 48-And, HR 417, HIP 6813, TYC 3265-2401-1, Gaia EDR3- 397372371388455424"
HD 172910,Sagittarius,"HR 7029, HIP 91918, TYC 7419-3077-1, Gaia EDR3- 6733635914056263296"
HD 175510,Telescopium,"λ-Tel, HR 7134, HIP 93148, TYC 8759-2961-1, Gaia EDR3- 6656678453823573888"
HD 219734,Andromeda,"8-And, HR 8860, NSV 14484, HIP 115022, TYC 3644-2208-1, Gaia EDR3- 1942705624581332224"
HD 19275,Cassiopeia,"HR 932, HIP 14862, TYC 4325-1562-1, Gaia EDR3- 547825694242685184"
HD 20468,Perseus,"HR 991, HIP 15416, TYC 2349-1954-1, Gaia EDR3- 125903706403870976"
HD 164669,Hercules,"95-Her, HR 6729, NSV 10014, HIP 88267, TYC 1566-3674-1, Gaia EDR3- 4576147844112599424"
HD 88206,Vela,"Q-Vel, HR 3990, HIP 49712, TYC 8195-4554-1, Gaia EDR3- 5356991663260068480"
HD 12534,Andromeda,"γ²-And, 57-And, HR 604"
